polymer_id,original_representation,property_name,property_value,units,source_dataset
poly_34,[*]OCCCCOC(C1=CC=C(C([*])=O)C=C1)=O,Tg,320.1451539,K,openpoly
poly_35,[*]NCCCCCC([*])=O,Tg,357.4459259,K,openpoly
poly_36,[*]CCN[*],Tg,486.8207143,K,openpoly
poly_37,[*]NC1=CC=C([*])C=C1,Tg,381.6609259,K,openpoly
poly_38,[*]OCCCCOC(CCC([*])=O)=O,Tg,243.1226797,K,openpoly
poly_39,[*]C1=CC=C(C(C)(C2=CC=C(OCC(C[*])O)C=C2)C)C=C1,Tg,412.9216832,K,openpoly
poly_40,[*]C1=CC=C(S[*])C=C1,Tg,363.146875,K,openpoly
poly_41,[*]CC[*],Tg,217.925,K,openpoly
poly_42,O=C(O[*])C1=CC(C=CC(C(OCC[*])=O)=C2)=C2C=C1,Tg,398.0491935,K,openpoly
poly_43,[*]C1=CC(C)=C(O[*])C(C)=C1,Tg,439.4435816,K,openpoly
poly_44,[*]CC(C1=CC=C(S(O)(=O)=O)C=C1)[*],Tg,373.4585106,K,openpoly
poly_45,[*]CC(C)[*],Tg,270.672449,K,openpoly
poly_46,[*]CC[*],Tg,178.8318182,K,openpoly
poly_47,[*]C1=CC=C([*])N1,Tg,388.0586486,K,openpoly
poly_48,[*]C(C1=CC=C(C(OCCCO[*])=O)C=C1)=O,Tg,320.6688889,K,openpoly
poly_49,COC(C([*])(C[*])C)=O,Tg,378.7432367,K,openpoly
poly_50,[*]CC(C(NC(C)C)=O)[*],Tg,405.775,K,openpoly
poly_51,[*]C1=C2C(OCCO2)=C([*])S1,Tg,394.65,K,openpoly
poly_52,CC(C)(C1=CC=C(OC([*])=O)C=C1)C2=CC=C(O[*])C=C2,Tg,409.8923729,K,openpoly
poly_53,O[C@@H]1[C@H](O)[C@H](O[*])[C@@H](CO)O[C@H]1[*],Tg,347.325,K,openpoly
poly_54,OC1C([*])C(CO)OC(O[*])C1O,Tg,332.2517188,K,openpoly
poly_55,[*]CC(C)(C(OCCN(C)C)=O)[*],Tg,294.228125,K,openpoly
poly_56,N[C@@H]1[C@@H](O)[C@H](O[*])[C@@H](CO)O[C@H]1[*],Tg,388.1995833,K,openpoly
poly_57,[*]CC([*])OC(C)=O,Tg,308.170804,K,openpoly
poly_58,[*]CC(C(NC(C)C)=O)[*],Tg,396.7294118,K,openpoly
poly_59,[*]OC1=CC=C(C(C)(C2=CC=C(OC3=CC=C(S(=O)(C4=CC=C([*])C=C4)=O)C=C3)C=C2)C)C=C1,Tg,459.4236691,K,openpoly
poly_60,[*]CC(C(OCCCC)=O)[*],Tg,227.6396104,K,openpoly
poly_61,O=C1N([*])C(C2=C1C=C(C3=O)C(C(N3C4=CC=C(OC5=CC=C([*])C=C5)C=C4)=O)=C2)=O,Tg,545.1615994,K,openpoly
poly_62,[*]CC([*])(C=C)C,Tg,215.8143478,K,openpoly
poly_63,[*]C1=CC=C(C(OCCOC([*])=O)=O)C=C1,Tg,327.2634483,K,openpoly
poly_64,[*]C/C=C/C[*],Tg,228.8861947,K,openpoly
poly_65,[*][Si](C)(O[*])C,Tg,151.5764706,K,openpoly
poly_66,[*]OCCCCCC([*])=O,Tg,213.3852941,K,openpoly
poly_67,O[C@@H]1[C@H](O)[C@H](O[*])[C@@H](CO)O[C@H]1[*],Tg,299.8863636,K,openpoly
poly_68,[*]OCCCOC([*])=O,Tg,256.1657627,K,openpoly
poly_69,CC(C([*])=O)O[*],Tg,330.80625,K,openpoly
poly_70,[*]CC(C(NC(C)C)=O)[*],Tg,405.775,K,openpoly
poly_71,[*]NCCCCCC([*])=O,Tg,443.0298658,K,openpoly
poly_72,[*]NCCCCCCCCCCCC([*])=O,Tg,319.204,K,openpoly
poly_73,[*]CC(C(N)=O)[*],Tg,440.2843137,K,openpoly
poly_74,[*]CC(C)(C(OCCCC)=O)[*],Tg,299.8865354,K,openpoly
poly_75,[*]CC(C(N)=O)[*],Tg,431.7808824,K,openpoly
poly_76,CC(C([*])=O)O[*],Tg,331.8939394,K,openpoly
poly_77,[*]NCCCCCC([*])=O,Tg,345.4926667,K,openpoly
poly_78,[*]CC([*])O,Tg,346.7117188,K,openpoly
poly_79,[*]C1=CC=C(C(OCCOC([*])=O)=O)C=C1,Tg,351.6166667,K,openpoly
poly_80,[*]CC[*],Tg,186.2388889,K,openpoly
poly_81,[*]OC1=CC=C(C(C)(C2=CC=C(OC3=CC=C(S(=O)(C4=CC=C([*])C=C4)=O)C=C3)C=C2)C)C=C1,Tg,459.4236691,K,openpoly
poly_82,[*]NC1=CC=C([*])C=C1,Tg,403.0617647,K,openpoly
poly_83,COC(C([*])(C[*])C)=O,Tg,374.8291489,K,openpoly
poly_84,[*]C/C=C/C[*],Tg,206.0938462,K,openpoly
poly_85,[*]C([H])(O[*])[H],Tg,219.3038462,K,openpoly
poly_86,[*]C(C[*])C1=CC=CC=C1,Tg,372.2173333,K,openpoly
poly_87,[*]NCCCCCC([*])=O,Tg,505.318038,K,openpoly
poly_88,[*]CC(C(N)=O)[*],Tg,410.5818182,K,openpoly
poly_89,[*]CC(C)(C(O)=O)[*],Tg,285.9839286,K,openpoly
poly_90,[*]NCCCCCC([*])=O,Tg,323.4710526,K,openpoly
poly_91,[*]CC(C(NC(C)C)=O)[*],Tg,383.433,K,openpoly
poly_92,[*]C1=CC=C(C(C)(C2=CC=C(OCC(C[*])O)C=C2)C)C=C1,Tg,378.6943636,K,openpoly
poly_93,[*]CC(C)(C(OCCO)=O)[*],Tg,360.4582609,K,openpoly
poly_94,[*]OC1=CC=C(C(C)(C2=CC=C(OC3=CC=C(S(=O)(C4=CC=C([*])C=C4)=O)C=C3)C=C2)C)C=C1,Tg,461.2732877,K,openpoly
poly_95,[*]C1=CC=C(C(OCCOC([*])=O)=O)C=C1,Tg,346.3458937,K,openpoly
poly_96,[*]CC(O)[*],Tg,341.8695122,K,openpoly
poly_97,[*]CC(C(NC(C)C)=O)[*],Tg,383.58,K,openpoly
poly_98,[*]NCCCCCCCCCCC([*])=O,Tg,319.5172727,K,openpoly
poly_99,[*]C(CC(O[*])C)=O,Tg,271.5369565,K,openpoly
poly_100,[*]CC(C)[*],Tg,268.6857143,K,openpoly
poly_101,[*]C(CO[*])=O,Tg,310.8292453,K,openpoly
poly_102,[*]CC(C)(C(OCC)=O)[*],Tg,340.2549383,K,openpoly
poly_103,FC(F)(C(F)([*])F)[*],Tg,378.15,K,openpoly
poly_104,[*]CCO[*],Tg,249.2557692,K,openpoly
poly_105,FC(F)(C(F)([*])F)[*],Tg,433.7166667,K,openpoly
poly_106,[*]C1=CC=C([*])N1,Tg,378.5666667,K,openpoly
poly_107,[*]CC([*])O,Tg,345.275,K,openpoly
poly_108,[*]OC(CC([*])=O)C,Tg,277.178,K,openpoly
poly_109,[*]CC([*])C#N,Tg,371.9433333,K,openpoly
poly_110,[*]CC(C#N)[*],Tg,371.9433333,K,openpoly
poly_111,[*]OCC[*],Tg,260.3961539,K,openpoly
poly_112,[*]C(C)C(O[*])=O,Tg,330.9030612,K,openpoly
poly_113,[*]CC(OC)[*],Tg,249.7081967,K,openpoly
poly_114,[*]CC(C)([*])C,Tg,211.8833333,K,openpoly
poly_115,[*]C(C[*])C1=CC=NC=C1,Tg,410.8318947,K,openpoly
poly_116,[*]C1=CC=C([*])S1,Tg,395.6727273,K,openpoly
poly_117,[*]C(C(NC(C)C)=O)C[*],Tg,351.65,K,openpoly
poly_118,CC(C)([*])C1=CC=C(OCN(C(C=C4)=CC=C4OC3=CC=C(N5COC(C=CC([*])=C6)=C6C5)C=C3)C2)C2=C1,Tg,475.4534091,K,openpoly
poly_119,[*]OC(C([*])=O)C,Tg,331.88125,K,openpoly
poly_120,[*]CCO[*],Tg,218.3414894,K,openpoly
poly_121,[*]CC(C(O)=O)[*],Tg,377.0370968,K,openpoly
poly_122,[*][Si](C)(C)O[*],Tg,151.7342105,K,openpoly
poly_123,[*]OCC(C)O[*],Tg,218.3781579,K,openpoly
poly_124,[*]OCC[*],Tg,300.95625,K,openpoly
poly_125,[*]OCCCCCC([*])=O,Tg,215.3456522,K,openpoly
poly_126,[*]OC1=CC=C(C(C2=CC=C(C(C3=CC=C([*])C=C3)=O)C=C2)=O)C=C1,Tg,432.8166667,K,openpoly
poly_127,[*]CC(C)(C(OCC1CO1)=O)[*],Tg,344.9106383,K,openpoly
poly_128,[*]C(C1=CC=C(C(OCCO[*])=O)C=C1)=O,Tg,349.8166667,K,openpoly
poly_129,[*]C2=NC1=CC(N=C(C4=CC=C([*])C=C4)O3)=C3C=C1O2,Tg,410.1075,K,openpoly
poly_130,[*]C(C)C[*],Tg,273.27375,K,openpoly
poly_131,[*]OC(C1=CC=C(C(OCC[*])=O)O1)=O,Tg,358.1833333,K,openpoly
poly_132,[*]OC1=CC=C(C(C)(C2=CC=C(OC3=CC=C(S(=O)(C4=CC=C([*])C=C4)=O)C=C3)C=C2)C)C=C1,Tg,458.4194915,K,openpoly
poly_133,[*]C(C([H])([*])[H])([H])C1=CC=CC=C1,Tg,371.1314305,K,openpoly
poly_134,[*]CCCCO[*],Tg,202.8095745,K,openpoly
poly_135,[*]NCCCCCC([*])=O,Tg,321.0029412,K,openpoly
poly_136,O=C([*])C1=CC=C(C(OCCCO[*])=O)O1,Tg,310.9518919,K,openpoly
poly_137,[H][C@@]1(C[*])C([H])(CO)O[C@](CO[*])([H])[C@@]([H])(NC(C)=O)[C@@](O)1[H],Tg,482.1916667,K,openpoly
poly_138,[*]C([H])([H])C([H])([H])[*],Tg,185.65,K,openpoly
poly_139,[*]C1=C(OC)C=C(/C=C/[*])C(OCC(CC)CCCC)=C1,Tg,343.0670213,K,openpoly
poly_140,[*]C/C(C)=C/C[*],Tg,215.9344754,K,openpoly
poly_141,[*]CC(F)([*])F,Tg,237.5136364,K,openpoly
poly_142,[*]/C=C/C1=CC=C([*])C=C1,Tg,390.2394737,K,openpoly
poly_143,[*]CC(C(NC(C)C)=O)[*],Tg,414.775,K,openpoly
poly_144,O=C1CCCCCN1C([*])C[*],Tg,393.6833333,K,openpoly
poly_145,[*]CC(C(NC(C)C)=O)[*],Tg,412.65,K,openpoly
poly_146,[*]OC([H])(C)C([*])=O,Tg,325.1617647,K,openpoly
poly_147,[*]C(C[*])N1C3=C(C=CC=C3)C2=C1C=CC=C2,Tg,471.2205882,K,openpoly
poly_148,[*]N(CCCCCC([*])=O)[H],Tg,328.3285714,K,openpoly
poly_149,[*]CC(C(N(C)C)=O)[*],Tg,332.9485714,K,openpoly
poly_150,[*]C([c@@]4ccccc4)C[C@@H]([c@@]3ccccc3)CC(C[C@@H]([c@@]2ccccc2)C[*])[c@@]1ccccc1,Tg,372.9,K,openpoly
poly_151,[*]CC(C)(C(OC)=O)[*],Tg,379.5184211,K,openpoly
poly_152,[*]C([H])([H])C(F)([*])F,Tg,290.15,K,openpoly
poly_153,[*]C(C)C(O[*])=O,Tg,331.8939394,K,openpoly
poly_154,C/C(C[*])=C(C[*])\[H],Tg,225.8605263,K,openpoly
poly_156,[*]C1=CC(CCCCCCCC)=C(C2=C(CCCCCCCC)C=C([*])C=C2)C=C1,Tg,339.95,K,openpoly
poly_157,[*]C1=C(CCCCCC)C=C([*])S1,Tg,341.15,K,openpoly
poly_158,[*]C([H])([H])C(Cl)([H])[*],Tg,348.7562963,K,openpoly
poly_159,[*]CC(C1=CC=CC=N1)[*],Tg,372.5797872,K,openpoly
poly_160,[*]C(C1=CC=CC=C1)C[*],Tg,367.2050685,K,openpoly
poly_161,C[Si]([*])(CCCC#N)O[*],Tg,527.35,K,openpoly
poly_162,[*]C(C[*])C1=CC=CC=C1,Tg,371.6028302,K,openpoly
poly_163,[*]CC(C(NC(C)C)=O)[*],Tg,396.7294118,K,openpoly
poly_165,[*]CC(CC(C)C)[*],Tg,327.7441177,K,openpoly
poly_166,[*]CCCCO[*],Tg,207.765,K,openpoly
poly_167,[*]OC1=CC=C(S(=O)(C2=CC=C([*])C=C2)=O)C=C1,Tg,492.7157895,K,openpoly
poly_168,[*]CC(C(NC(C)C)=O)[*],Tg,406.8547619,K,openpoly
poly_169,[*]CC(C)(C(O)=O)[*],Tg,453.5411765,K,openpoly
poly_171,[*]N([H])CCCCCC([*])=O,Tg,325.2880952,K,openpoly
poly_172,[*]CC(N1C(CCCCC1)=O)[*],Tg,356.4333333,K,openpoly
poly_173,[*]C([H])([H])C([H])([H])[*],Tg,252.9,K,openpoly
poly_174,[*]C(C[*])C1=CC=CC=C1,Tg,319.8169231,K,openpoly
poly_175,[*]OCCCCCC([*])=O,Tg,213.3852941,K,openpoly
poly_176,*/C=C(\*)c1ccc(OCC(O)CCCC)cc1,Tg,324.0,K,openpoly
poly_177,*=CC1CC(C=*)C2C(=O)N(c3ccccc3)C(=O)C12,Tg,495.0,K,openpoly
poly_178,*C(=O)OCCOC(=O)c1ccc(*)cc1,Tg,353.0,K,openpoly
poly_179,*C(=O)c1cc(C(c2ccc(OC)c(C(=O)c3ccc(-c4ccc(*)cc4)cc3)c2)(C(F)(F)F)C(F)(F)F)ccc1OC,Tg,463.0,K,openpoly
poly_180,*C(F)(F)C(*)(F)Cl,Tg,325.0,K,openpoly
poly_181,*C(F)(F)C(*)(F)F,Tg,390.0,K,openpoly
poly_182,*C(F)(F)C(F)(F)C(F)(F)C(*)(F)C(F)(F)F,Tg,353.15,K,openpoly
poly_183,*C(F)(F)C(F)(F)C(F)(OC(F)(F)C(F)(F)C(F)(F)F)C(*)(F)F,Tg,281.65,K,openpoly
poly_184,*C(F)(F)C(F)(F)C(F)(OC(F)(F)C(F)(OC(F)(F)C(F)(F)S(=O)(=O)[O-])C(F)(F)F)C(*)(F)F,Tg,410.65,K,openpoly
poly_185,*C(F)(F)C(F)(F)C1(F)OC(C(F)(F)F)(C(F)(F)F)OC1(*)F,Tg,473.15,K,openpoly
poly_186,*C(F)C(*)(F)C(=O)OC,Tg,413.0,K,openpoly
poly_187,*C(F)C(*)(F)C(=O)OC(C(F)(F)F)C(F)(F)F,Tg,371.0,K,openpoly
poly_188,*C/C=C(/C)C*,Tg,209.7166667,K,openpoly
poly_189,*C/C=C(\C)C*,Tg,205.325,K,openpoly
poly_190,*C/C=C(\Cl)C*,Tg,226.6,K,openpoly
poly_191,*C/C=C/C*,Tg,192.3333333,K,openpoly
poly_192,*C/C=C\C*,Tg,279.0,K,openpoly
poly_193,*C1C2CCC(C2)C1*,Tg,313.15,K,openpoly
poly_194,*C1c2cccc3cccc(c23)C1*,Tg,487.0,K,openpoly
poly_195,*CC(*)(C#N)C(=O)OCC,Tg,358.15,K,openpoly
poly_196,*CC(*)(C)C,Tg,200.43,K,openpoly
poly_197,*CC(*)(C)C#N,Tg,393.075,K,openpoly
poly_198,*CC(*)(C)C(=O)NC(C)C,Tg,408.0,K,openpoly
poly_199,*CC(*)(C)C(=O)O,Tg,501.575,K,openpoly
poly_200,*CC(*)(C)C(=O)OC,Tg,382.0928571,K,openpoly
poly_201,*CC(*)(C)C(=O)OC(C)(C)C,Tg,391.0,K,openpoly
poly_202,*CC(*)(C)C(=O)OC(C)C,Tg,354.0,K,openpoly
poly_203,*CC(*)(C)C(=O)OC1CC(C)(C)N([O])C(C)(C)C1,Tg,344.0,K,openpoly
poly_204,*CC(*)(C)C(=O)OC1CCCCC1,Tg,365.0,K,openpoly
poly_205,*CC(*)(C)C(=O)OCC,Tg,338.0,K,openpoly
poly_206,*CC(*)(C)C(=O)OCC(C)C,Tg,326.0,K,openpoly
poly_207,*CC(*)(C)C(=O)OCC(C)O,Tg,349.0,K,openpoly
poly_208,*CC(*)(C)C(=O)OCC(CC)CCCC,Tg,263.0,K,openpoly
poly_209,*CC(*)(C)C(=O)OCCC,Tg,311.0,K,openpoly
poly_210,*CC(*)(C)C(=O)OCCCC,Tg,289.25,K,openpoly
poly_211,*CC(*)(C)C(=O)OCCCCCC,Tg,260.5,K,openpoly
poly_212,*CC(*)(C)C(=O)OCCCCCCCC,Tg,242.0,K,openpoly
poly_213,*CC(*)(C)C(=O)OCCCCCCCCCCCC,Tg,209.5,K,openpoly
poly_214,*CC(*)(C)C(=O)OCCCCCCCCCCCCCCCC,Tg,288.0,K,openpoly
poly_215,*CC(*)(C)C(=O)OCCCCCCCCCCCCCCCCCC,Tg,173.0,K,openpoly
poly_216,*CC(*)(C)C(=O)OCCN(C)C,Tg,292.0,K,openpoly
poly_217,*CC(*)(C)C(=O)OCCN(CC)CC,Tg,293.0,K,openpoly
poly_218,*CC(*)(C)C(=O)OCCNC(C)(C)C,Tg,306.0,K,openpoly
poly_219,*CC(*)(C)C(=O)OCCO,Tg,347.825,K,openpoly
poly_220,*CC(*)(C)C(=O)OCc1ccccc1,Tg,327.0,K,openpoly
poly_221,*CC(*)(C)C(=O)O[Si](C)(C)C,Tg,341.0,K,openpoly
poly_222,*CC(*)(C)C(=O)Oc1ccccc1,Tg,383.0,K,openpoly
poly_223,*CC(*)(C)C(=O)[O-].[Na+],Tg,583.0,K,openpoly
poly_224,*CC(*)(C)C(N)=O,Tg,528.0,K,openpoly
poly_225,*CC(*)(C)c1ccc(C)cc1,Tg,456.0,K,openpoly
poly_226,*CC(*)(C)c1ccccc1,Tg,369.5,K,openpoly
poly_227,*CC(*)(Cl)Cl,Tg,273.575,K,openpoly
poly_228,*CC(*)(F)F,Tg,224.05,K,openpoly
poly_229,*CC(*)(c1ccccc1)C(C)(C)C,Tg,403.0,K,openpoly
poly_230,*CC(*)C,Tg,254.075,K,openpoly
poly_231,*CC(*)C#C,Tg,393.0,K,openpoly
poly_232,*CC(*)C#N,Tg,398.0,K,openpoly
poly_233,*CC(*)C(=O)N(C)C,Tg,362.0,K,openpoly
poly_234,*CC(*)C(=O)NC(C)(C)C,Tg,401.0,K,openpoly
poly_235,*CC(*)C(=O)NC(C)(C)CS(=O)(=O)O,Tg,448.0,K,openpoly
poly_236,*CC(*)C(=O)NC(C)C,Tg,380.5,K,openpoly
poly_237,*CC(*)C(=O)NCC1COC(C)(C)O1,Tg,423.0,K,openpoly
poly_238,*CC(*)C(=O)O,Tg,378.3333333,K,openpoly
poly_239,*CC(*)C(=O)OC,Tg,281.825,K,openpoly
poly_240,*CC(*)C(=O)OC(C)(C)C,Tg,348.0,K,openpoly
poly_241,*CC(*)C(=O)OC(C)C,Tg,262.0,K,openpoly
poly_242,*CC(*)C(=O)OC(C)CC,Tg,247.0,K,openpoly
poly_243,*CC(*)C(=O)OC1CCCCC1,Tg,292.0,K,openpoly
poly_244,*CC(*)C(=O)OCC,Tg,250.0,K,openpoly
poly_245,*CC(*)C(=O)OCC(C)C,Tg,249.0,K,openpoly
poly_246,*CC(*)C(=O)OCC(CC)CCCC,Tg,223.0,K,openpoly
poly_247,*CC(*)C(=O)OCC(F)(F)F,Tg,263.0,K,openpoly
poly_248,*CC(*)C(=O)OCCC#N,Tg,277.0,K,openpoly
poly_249,*CC(*)C(=O)OCCCC,Tg,218.5,K,openpoly
poly_250,*CC(*)C(=O)OCCCCCC,Tg,216.0,K,openpoly
poly_251,*CC(*)C(=O)OCCCCCCCCCCCC,Tg,270.0,K,openpoly
poly_252,*CC(*)C(=O)OCCCCCCCCCCCCCCCC,Tg,308.0,K,openpoly
poly_253,*CC(*)C(=O)OCCOC,Tg,223.0,K,openpoly
poly_254,*CC(*)C(=O)OCCOCC,Tg,223.0,K,openpoly
poly_255,*CC(*)C(=O)OCCOc1ccc(C(=O)Oc2ccc(OC)cc2)cc1,Tg,338.0,K,openpoly
poly_256,*CC(*)C(=O)OCc1ccccc1,Tg,279.0,K,openpoly
poly_257,*CC(*)C(=O)[O-].[K+],Tg,467.0,K,openpoly
poly_258,*CC(*)C(=O)[O-].[Na+],Tg,503.0,K,openpoly
poly_259,*CC(*)C(=O)c1ccccc1,Tg,347.0,K,openpoly
poly_260,*CC(*)C(N)=O,Tg,438.0,K,openpoly
poly_261,*CC(*)C1CCCCC1,Tg,420.0,K,openpoly
poly_262,*CC(*)CC,Tg,249.0,K,openpoly
poly_263,*CC(*)CC(C)C,Tg,305.825,K,openpoly
poly_264,*CC(*)CCCCCC,Tg,210.0,K,openpoly
poly_265,*CC(*)CCCCCCCCCCCCCCCC,Tg,328.0,K,openpoly
poly_266,*CC(*)COCC1CO1,Tg,195.0,K,openpoly
poly_267,*CC(*)Cl,Tg,365.2,K,openpoly
poly_268,*CC(*)F,Tg,310.075,K,openpoly
poly_269,*CC(*)N1CCCC1=O,Tg,388.825,K,openpoly
poly_270,*CC(*)N=C=O,Tg,324.0,K,openpoly
poly_271,*CC(*)O,Tg,356.05,K,openpoly
poly_272,*CC(*)OC,Tg,247.075,K,openpoly
poly_273,*CC(*)OC(=O)C(C)(C)C,Tg,359.0,K,openpoly
poly_274,*CC(*)OC(=O)C(F)(F)F,Tg,319.0,K,openpoly
poly_275,*CC(*)OC(=O)C1CCCCC1,Tg,349.0,K,openpoly
poly_276,*CC(*)OC(=O)CC,Tg,283.0,K,openpoly
poly_277,*CC(*)OC(=O)CC(=O)[O-],Tg,244.0,K,openpoly
poly_278,*CC(*)OC(=O)CCC,Tg,337.15,K,openpoly
poly_279,*CC(*)OC(=O)CCCCC(=O)[O-],Tg,228.0,K,openpoly
poly_280,*CC(*)OC(=O)c1ccc(C(C)(C)C)cc1,Tg,374.0,K,openpoly
poly_281,*CC(*)OC(=O)c1ccccc1,Tg,344.0,K,openpoly
poly_282,*CC(*)OC(C)(C)C,Tg,361.0,K,openpoly
poly_283,*CC(*)OC(C)=O,Tg,310.05,K,openpoly
poly_284,*CC(*)OC1CCCCC1,Tg,354.0,K,openpoly
poly_285,*CC(*)OCC,Tg,230.0,K,openpoly
poly_286,*CC(*)OCC(C)C,Tg,254.0,K,openpoly
poly_287,*CC(*)OCC(CC)CCCC,Tg,207.0,K,openpoly
poly_288,*CC(*)OCCC,Tg,224.0,K,openpoly
poly_289,*CC(*)OCCCC,Tg,218.0,K,openpoly
poly_290,*CC(*)OCCCCCCCCCCCC,Tg,211.0,K,openpoly
poly_291,*CC(*)c1c(C)cc(C)cc1C,Tg,435.0,K,openpoly
poly_292,*CC(*)c1c(Cl)cccc1Cl,Tg,440.0,K,openpoly
poly_293,*CC(*)c1cc(C)cc(C)c1,Tg,377.0,K,openpoly
poly_294,*CC(*)c1cc(C)ccc1C,Tg,416.0,K,openpoly
poly_295,*CC(*)c1ccc(-c2ccccn2)cc1,Tg,434.4,K,openpoly
poly_296,*CC(*)c1ccc(Br)cc1,Tg,391.0,K,openpoly
poly_297,*CC(*)c1ccc(C#C)cc1,Tg,426.0,K,openpoly
poly_298,*CC(*)c1ccc(C(C)(C)C)cc1,Tg,400.0,K,openpoly
poly_299,*CC(*)c1ccc(C)cc1,Tg,373.325,K,openpoly
poly_300,*CC(*)c1ccc(C)cc1C,Tg,385.0,K,openpoly
poly_301,*CC(*)c1ccc(C23C[C@H]4C[C@@H](C2)C[C@@H](C3)C4)cc1,Tg,490.5,K,openpoly
poly_302,*CC(*)c1ccc(CC#C)cc1,Tg,327.0,K,openpoly
poly_303,*CC(*)c1ccc(Cl)cc1,Tg,383.0,K,openpoly
poly_304,*CC(*)c1ccc(F)cc1,Tg,368.0,K,openpoly
poly_305,*CC(*)c1ccc(N([O])C(C)(C)C)cc1,Tg,383.0,K,openpoly
poly_306,*CC(*)c1ccc(OC(C)=O)cc1,Tg,396.0,K,openpoly
poly_307,*CC(*)c1ccc(OC)cc1,Tg,386.0,K,openpoly
poly_308,*CC(*)c1ccc(OCC#C)cc1,Tg,321.0,K,openpoly
poly_309,*CC(*)c1ccc(OCC)cc1,Tg,359.0,K,openpoly
poly_310,*CC(*)c1ccc2ccccc2c1,Tg,424.0,K,openpoly
poly_311,*CC(*)c1cccc(C)c1,Tg,370.0,K,openpoly
poly_312,*CC(*)c1cccc(Cl)c1,Tg,363.0,K,openpoly
poly_313,*CC(*)c1cccc2c1[nH]c1ccccc12,Tg,500.0,K,openpoly
poly_314,*CC(*)c1ccccc1,Tg,372.435,K,openpoly
poly_315,*CC(*)c1ccccc1Cl,Tg,392.0,K,openpoly
poly_316,*CC(*)c1ccccn1,Tg,377.0,K,openpoly
poly_317,*CC(*)c1ccncc1,Tg,415.0,K,openpoly
poly_318,*CC(*)n1c2ccccc2c2ccccc21,Tg,486.65,K,openpoly
poly_319,*CC(*)n1ccnc1,Tg,448.0,K,openpoly
poly_320,*CC(C#N)C/C=C/CCC(*)C(=O)OC,Tg,427.15,K,openpoly
poly_321,*CC(C#N)C/C=C/CCC(*)c1ccccc1,Tg,377.65,K,openpoly
poly_322,*CC(C#N)CC(CC(*)C(=O)OC)c1ccccc1,Tg,388.15,K,openpoly
poly_323,*CC(C)(CC(*)(C)C(=O)O)C(=O)OC,Tg,395.65,K,openpoly
