source_index,original_representation,adversarial_representation,attack_family,canonical_equivalent,label_basis,target_value,teacher_model_hash,property_value
31,[*]CCCC(C)(C)CNC(=O)CCCCCCCCC(=O)N[*],[*]CCCC(C)(C)CNC(=O)CCCCCCCCC(=O)N[*],clean,True,measured,5.8015,,5.8015
32,[*]CCSSSSCCO[*],[*]CCSSSSCCO[*],clean,True,measured,4.2061,,4.2061
33,[*]NC(CCC(=O)OCCCCC)C([*])=O,[*]NC(CCC(=O)OCCCCC)C([*])=O,clean,True,measured,5.6585,,5.6585
34,[*]Nc1cc(NC(=O)c2ccccc2C([*])=O)cc(-c2nnc(-c3ccccn3)o2)c1,[*]Nc1cc(NC(=O)c2ccccc2C([*])=O)cc(-c2nnc(-c3ccccn3)o2)c1,clean,True,measured,3.359,,3.359
35,[*]CCCCCCNC(=O)CCc1ccc(C(C)CC(=O)N[*])cc1,[*]CCCCCCNC(=O)CCc1ccc(C(C)CC(=O)N[*])cc1,clean,True,measured,5.5318,,5.5318
36,[*]CC([*])n1ccnc1,[*]CC([*])n1ccnc1,clean,True,measured,4.7081,,4.7081
37,[*]c1cc(CCCCCCOC(=O)COC)c([*])s1,[*]c1cc(CCCCCCOC(=O)COC)c([*])s1,clean,True,measured,1.5263,,1.5263
38,[*]Oc1cc(C(C)(C)c2ccccc2)c(OC(=O)c2ccc(C([*])=O)cc2)cc1C(C)(C)c1ccccc1,[*]Oc1cc(C(C)(C)c2ccccc2)c(OC(=O)c2ccc(C([*])=O)cc2)cc1C(C)(C)c1ccccc1,clean,True,measured,3.4711,,3.4711
39,[*]OC([2H])([2H])C([*])([2H])[2H],[*]OC([2H])([2H])C([*])([2H])[2H],clean,True,measured,5.8333,,5.8333
40,[*]CC(S[*])C(C)(C)C,[*]CC(S[*])C(C)(C)C,clean,True,measured,4.5517,,4.5517
41,[*]CC(COc1ccc(OC)cc1)O[*],[*]CC(COc1ccc(OC)cc1)O[*],clean,True,measured,4.0197,,4.0197
42,[*]OCCOC(=O)CCCC(=O)OCCOc1nc(-c2ccc(OCCCC)cc2)nc([*])c1-c1ccc(OC)cc1,[*]OCCOC(=O)CCCC(=O)OCCOc1nc(-c2ccc(OCCCC)cc2)nc([*])c1-c1ccc(OC)cc1,clean,True,measured,3.5409,,3.5409
43,[*]C(F)(F)C([*])(F)OC(F)(F)F,[*]C(F)(F)C([*])(F)OC(F)(F)F,clean,True,measured,8.0507,,8.0507
44,[*]c1cc2c(s1)-c1sc([*])cc1C2(CCCCCCCC)CCCCCCCC,[*]c1cc2c(s1)-c1sc([*])cc1C2(CCCCCCCC)CCCCCCCC,clean,True,measured,2.7507,,2.7507
45,[*]CCCCOC(=O)NCCCNC(=O)O[*],[*]CCCCOC(=O)NCCCNC(=O)O[*],clean,True,measured,6.2411,,6.2411
46,[*]NC(C=C1)=CC=C1C(C=C2)=CC=C2C(=S)[*],[*]NC(C=C1)=CC=C1C(C=C2)=CC=C2C(=S)[*],clean,True,measured,2.8961,,2.8961
47,[*]OC(C)COC(=O)COCC([*])=O,[*]OC(C)COC(=O)COCC([*])=O,clean,True,measured,6.1342,,6.1342
48,[*]CCC(=O)OCCCC=CCCCOC(=O)CCC1NC(=O)C([*])NC1=O,[*]CCC(=O)OCCCC=CCCCOC(=O)CCC1NC(=O)C([*])NC1=O,clean,True,measured,5.6763,,5.6763
49,[*]CCOCCOCCOC(=O)CCCCCCCC(=O)O[*],[*]CCOCCOCCOC(=O)CCCCCCCC(=O)O[*],clean,True,measured,6.1534,,6.1534
50,[*]CCOCC(=O)NCCNC(=O)CO[*],[*]CCOCC(=O)NCCNC(=O)CO[*],clean,True,measured,5.8923,,5.8923
51,[*]c1ccc(Oc2cc3ccccc3cc2Oc2ccc(-n3c(=O)c4cc5c(=O)n([*])c(=O)c5cc4c3=O)cc2)cc1,[*]c1ccc(Oc2cc3ccccc3cc2Oc2ccc(-n3c(=O)c4cc5c(=O)n([*])c(=O)c5cc4c3=O)cc2)cc1,clean,True,measured,2.1718,,2.1718
52,[*]CNC(S1)=CC=C1N[*],[*]CNC(S1)=CC=C1N[*],clean,True,measured,4.3295,,4.3295
53,[*]Oc1ccc(Oc2ccc(C(=O)c3ccc([*])cc3)cc2)cc1COC,[*]Oc1ccc(Oc2ccc(C(=O)c3ccc([*])cc3)cc2)cc1COC,clean,True,measured,4.2796,,4.2796
54,[*]c1cc(OCCCC)c([*])s1,[*]c1cc(OCCCC)c([*])s1,clean,True,measured,3.0949,,3.0949
55,[*]CC(CCl)(CI)COC(=O)CCCCC(=O)O[*],[*]CC(CCl)(CI)COC(=O)CCCCC(=O)O[*],clean,True,measured,5.2961,,5.2961
56,[*]C(=O)c1ccc2c(c1)C(=O)N(c1ccc(C(c3ccccc3)(c3ccc(N4C(=O)c5ccc([*])cc5C4=O)cc3)C(F)(F)F)cc1)C2=O,[*]C(=O)c1ccc2c(c1)C(=O)N(c1ccc(C(c3ccccc3)(c3ccc(N4C(=O)c5ccc([*])cc5C4=O)cc3)C(F)(F)F)cc1)C2=O,clean,True,measured,3.0137,,3.0137
57,[*]OC([*])C(Cl)Cl,[*]OC([*])C(Cl)Cl,clean,True,measured,6.4632,,6.4632
58,[*]c1ccc(Oc2ccc(Oc3ccc(-n4c(=O)c5cc6c(=O)n([*])c(=O)c6cc5c4=O)cc3)cc2)cc1,[*]c1ccc(Oc2ccc(Oc3ccc(-n4c(=O)c5cc6c(=O)n([*])c(=O)c6cc5c4=O)cc3)cc2)cc1,clean,True,measured,2.2398,,2.2398
59,[*]CC(CO[*])(COC=O)COC=O,[*]CC(CO[*])(COC=O)COC=O,clean,True,measured,6.3091,,6.3091
60,[*]Oc1ccc(C(C)=Cc2ccc(OC(=O)OCCCCOC([*])=O)cc2)cc1,[*]Oc1ccc(C(C)=Cc2ccc(OC(=O)OCCCCOC([*])=O)cc2)cc1,clean,True,measured,4.177,,4.177
61,[*]C(=O)Nc1ccc(NC(=O)c2ccc3c(c2)C(=O)N(c2cccc(N4C(=O)c5ccc([*])cc5C4=O)c2)C3=O)cc1,[*]C(=O)Nc1ccc(NC(=O)c2ccc3c(c2)C(=O)N(c2cccc(N4C(=O)c5ccc([*])cc5C4=O)c2)C3=O)cc1,clean,True,measured,2.9009,,2.9009
62,[*]C(=O)Nc1ccc(C2(c3ccc(N4C(=O)c5ccc([*])cc5C4=O)cc3)CCCCC2)cc1,[*]C(=O)Nc1ccc(C2(c3ccc(N4C(=O)c5ccc([*])cc5C4=O)cc3)CCCCC2)cc1,clean,True,measured,2.8538,,2.8538
63,[*]OS(=O)(=O)c1cccc(C(=O)Oc2ccc(C(C)(C)c3ccc([*])cc3)cc2)c1,[*]OS(=O)(=O)c1cccc(C(=O)Oc2ccc(C(C)(C)c3ccc([*])cc3)cc2)c1,clean,True,measured,3.8376,,3.8376
64,[*]C([2H])([2H])C([*])([2H])C([2H])=C([2H])[2H],[*]C([2H])([2H])C([*])([2H])C([2H])=C([2H])[2H],clean,True,measured,2.522,,2.522
65,[*]C(=O)C(S1)=CC=C1OC(=S)[*],[*]C(=O)C(S1)=CC=C1OC(=S)[*],clean,True,measured,3.6056,,3.6056
66,[*]OC(=O)CCCCCCCCCCCCC([*])=O,[*]OC(=O)CCCCCCCCCCCCC([*])=O,clean,True,measured,6.1871,,6.1871
67,[*]OC(C)CCC(C)OC(=O)CCCCC([*])=O,[*]OC(C)CCC(C)OC(=O)CCCCC([*])=O,clean,True,measured,6.4235,,6.4235
68,[*]CC(O)COC(=O)CCCCC(=O)OCC(O)COc1ccc(O[*])cc1,[*]CC(O)COC(=O)CCCCC(=O)OCC(O)COc1ccc(O[*])cc1,clean,True,measured,5.1211,,5.1211
69,[*]C(=O)Oc1ccc(OC(=O)c2ccc3c(c2)C(=O)N(c2ccc(Oc4ccc(N5C(=O)c6ccc([*])cc6C5=O)cc4)cc2)C3=O)c(C(C)(C)C)c1,[*]C(=O)Oc1ccc(OC(=O)c2ccc3c(c2)C(=O)N(c2ccc(Oc4ccc(N5C(=O)c6ccc([*])cc6C5=O)cc4)cc2)C3=O)c(C(C)(C)C)c1,clean,True,measured,2.7274,,2.7274
70,[*]NC(=O)C(C=C1)=CC=C1C(=S)[*],[*]NC(=O)C(C=C1)=CC=C1C(=S)[*],clean,True,measured,2.9444,,2.9444
71,[*]C=CC1C=CC([*])C(C(=O)OC(C)(C)C)=C1C(=O)OC(C)(C)C,[*]C=CC1C=CC([*])C(C(=O)OC(C)(C)C)=C1C(=O)OC(C)(C)C,clean,True,measured,4.0868,,4.0868
72,[*]c1cc(N=Nc2ccc(C#N)cc2)cc([*])c1O,[*]c1cc(N=Nc2ccc(C#N)cc2)cc([*])c1O,clean,True,measured,2.5143,,2.5143
73,[*]c1ccc(-c2cc(CCCCCCCCCF)c([*])s2)s1,[*]c1ccc(-c2cc(CCCCCCCCCF)c([*])s2)s1,clean,True,measured,1.8341,,1.8341
74,[*]CCOC(=O)NCCOCCOCCNC(=O)O[*],[*]CCOC(=O)NCCOCCOCCNC(=O)O[*],clean,True,measured,6.1965,,6.1965
75,[*]CCCCCCNC(=O)CCCCCCCCCCCCCCCCCCCCC(=O)N[*],[*]CCCCCCNC(=O)CCCCCCCCCCCCCCCCCCCCC(=O)N[*],clean,True,measured,6.0208,,6.0208
76,[*]c1ccc(-c2ccc(N3C(=O)c4ccc(Oc5ccc6c(c5)C(=O)N([*])C6=O)cc4C3=O)cc2C)c(C)c1,[*]c1ccc(-c2ccc(N3C(=O)c4ccc(Oc5ccc6c(c5)C(=O)N([*])C6=O)cc4C3=O)cc2C)c(C)c1,clean,True,measured,3.3433,,3.3433
77,[*]CC([*])C(=O)OCCCCCCC,[*]CC([*])C(=O)OCCCCCCC,clean,True,measured,6.4578,,6.4578
78,[*]NC(=O)OC(=O)[*],[*]NC(=O)OC(=O)[*],clean,True,measured,6.3288,,6.3288
79,[*]CC(F)(F)C(F)(F)C(F)(F)COC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(=O)O[*],[*]CC(F)(F)C(F)(F)C(F)(F)COC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(=O)O[*],clean,True,measured,6.3429,,6.3429
80,[*]C(=O)Nc1ccc(Cc2ccc(N3C(=O)c4ccc([*])cc4C3=O)cc2)cc1,[*]C(=O)Nc1ccc(Cc2ccc(N3C(=O)c4ccc([*])cc4C3=O)cc2)cc1,clean,True,measured,3.0708,,3.0708
81,[*]C(=O)c1ccc(C(=O)N2CC(C)N([*])CC2C)cc1,[*]C(=O)c1ccc(C(=O)N2CC(C)N([*])CC2C)cc1,clean,True,measured,4.5321,,4.5321
82,[*]c1ccc(C2C(C#N)(C(=O)OCCC)C([*])C2(C#N)C(=O)OCCC)cc1,[*]c1ccc(C2C(C#N)(C(=O)OCCC)C([*])C2(C#N)C(=O)OCCC)cc1,clean,True,measured,4.8078,,4.8078
83,[*]COC(=O)O[*],[*]COC(=O)O[*],clean,True,measured,8.088,,8.088
84,[*]Cc1c(O)c(CNC(=O)N[*])cc(C(CC)=NO)c1O,[*]Cc1c(O)c(CNC(=O)N[*])cc(C(CC)=NO)c1O,clean,True,measured,4.9278,,4.9278
85,[*]c1ccc(N(c2ccc(CCCC)cc2)c2ccc(-c3ccc([*])s3)cc2)cc1,[*]c1ccc(N(c2ccc(CCCC)cc2)c2ccc(-c3ccc([*])s3)cc2)cc1,clean,True,measured,2.8259,,2.8259
86,[*]CCCCCCCNC(=O)CCCCC(=O)N[*],[*]CCCCCCCNC(=O)CCCCC(=O)N[*],clean,True,measured,5.9053,,5.9053
87,[*]Oc1ccc(C(c2ccccc2)c2ccc(OC([*])=O)cc2)cc1,[*]Oc1ccc(C(c2ccccc2)c2ccc(OC([*])=O)cc2)cc1,clean,True,measured,5.1036,,5.1036
88,[*]c1ccc([*])n1C(C(=O)OCC)n1cccc1,[*]c1ccc([*])n1C(C(=O)OCC)n1cccc1,clean,True,measured,2.8576,,2.8576
89,[*]Oc1c(CCCCC)cc([*])cc1-c1ccccc1,[*]Oc1c(CCCCC)cc([*])cc1-c1ccccc1,clean,True,measured,4.6522,,4.6522
90,[*]Oc1ccc(C(C)c2ccc(OC([*])=O)c(C)c2)cc1C,[*]Oc1ccc(C(C)c2ccc(OC([*])=O)c(C)c2)cc1C,clean,True,measured,5.0393,,5.0393
91,[*]CCC1CCC([*])C1,[*]CCC1CCC([*])C1,clean,True,measured,7.0987,,7.0987
92,[*]Oc1cccc(OC(=O)CCC([*])=O)c1,[*]Oc1cccc(OC(=O)CCC([*])=O)c1,clean,True,measured,5.0962,,5.0962
93,[*]Oc1ccc(C(=O)Nc2cc(NC(=O)c3ccc([*])cc3)cc(-c3nc4ccccc4[nH]3)c2)cc1,[*]Oc1ccc(C(=O)Nc2cc(NC(=O)c3ccc([*])cc3)cc(-c3nc4ccccc4[nH]3)c2)cc1,clean,True,measured,3.4538,,3.4538
94,[*]CCCOC(=O)CC(=O)O[*],[*]CCCOC(=O)CC(=O)O[*],clean,True,measured,6.5016,,6.5016
95,[*]CCCCCCCCn1c(=O)c2ccc3c4ccc5c(=O)n([*])c(=O)c6ccc(c7ccc(c1=O)c2c37)c4c56,[*]CCCCCCCCn1c(=O)c2ccc3c4ccc5c(=O)n([*])c(=O)c6ccc(c7ccc(c1=O)c2c37)c4c56,clean,True,measured,2.0018,,2.0018
96,[*]c1cc(CCCCBr)c([*])s1,[*]c1cc(CCCCBr)c([*])s1,clean,True,measured,2.4191,,2.4191
97,[*]NC(C=C1)=CC=C1C(C=C2)=CC=C2C(C=C3)=CC=C3[*],[*]NC(C=C1)=CC=C1C(C=C2)=CC=C2C(C=C3)=CC=C3[*],clean,True,measured,3.553,,3.553
98,[*]c1sc(-c2sc(-c3sc([*])c4nccnc34)c3c2OC(CCCCCC)CO3)c2c1OCC(CCCCCC)O2,[*]c1sc(-c2sc(-c3sc([*])c4nccnc34)c3c2OC(CCCCCC)CO3)c2c1OCC(CCCCCC)O2,clean,True,measured,1.2188,,1.2188
99,[*]CC1CCCC(CNC(=O)CCCCCCC(=O)N[*])C1,[*]CC1CCCC(CNC(=O)CCCCCCC(=O)N[*])C1,clean,True,measured,5.9394,,5.9394
100,O([*])C(=O)OC(C=C1)=CC=C1C(C=C2)=CC=C2CC(C=C3)=CC=C3C(C=C4)=CC=C4([*]),O([*])C(=O)OC(C=C1)=CC=C1C(C=C2)=CC=C2CC(C=C3)=CC=C3C(C=C4)=CC=C4([*]),clean,True,measured,4.1828,,4.1828
101,[*]NC1CC(CCC([*])=O)C1(C)C,[*]NC1CC(CCC([*])=O)C1(C)C,clean,True,measured,5.7477,,5.7477
102,[*]CCc1ccc(CCNC(=O)CCCCCCCCCC(=O)N[*])cc1,[*]CCc1ccc(CCNC(=O)CCCCCCCCCC(=O)N[*])cc1,clean,True,measured,5.3249,,5.3249
103,[*]CCCCCCCCCCOC(=O)Nc1ccc(C)c(NC(=O)O[*])c1,[*]CCCCCCCCCCOC(=O)Nc1ccc(C)c(NC(=O)O[*])c1,clean,True,measured,5.2165,,5.2165
104,[*]Cc1ccc(CNC(=O)CCCCCCCCC(=O)N[*])cc1,[*]Cc1ccc(CNC(=O)CCCCCCCCC(=O)N[*])cc1,clean,True,measured,5.3317,,5.3317
105,[*]C(C=C1)=CC=C1OC(C=C2)=CC=C2O[*],[*]C(C=C1)=CC=C1OC(C=C2)=CC=C2O[*],clean,True,measured,4.8832,,4.8832
106,[*]CCCCCCOc1ccc(OC(=O)c2ccc(C(=O)Oc3ccc(O[*])cc3)cc2)cc1,[*]CCCCCCOc1ccc(OC(=O)c2ccc(C(=O)Oc3ccc(O[*])cc3)cc2)cc1,clean,True,measured,3.2533,,3.2533
107,[*]CCc1ccc([*])c(F)c1,[*]CCc1ccc([*])c(F)c1,clean,True,measured,5.0304,,5.0304
108,[*]Oc1ccc(C(=O)CNCCCNCC(=O)c2ccc([*])cc2)cc1,[*]Oc1ccc(C(=O)CNCCCNCC(=O)c2ccc([*])cc2)cc1,clean,True,measured,3.504,,3.504
109,[*]CCCCCCCCCCNC(=O)C(C)=C(C)C(=O)N[*],[*]CCCCCCCCCCNC(=O)C(C)=C(C)C(=O)N[*],clean,True,measured,5.4099,,5.4099
110,[*]c1ccc(-c2ccc(-c3ccc([*])s3)s2)cc1,[*]c1ccc(-c2ccc(-c3ccc([*])s3)s2)cc1,clean,True,measured,1.9121,,1.9121
111,[*]C(=O)c1ccc2nc(-c3ccc(-c4cnc5cc([*])ccc5n4)cc3)cnc2c1,[*]C(=O)c1ccc2nc(-c3ccc(-c4cnc5cc([*])ccc5n4)cc3)cnc2c1,clean,True,measured,3.0794,,3.0794
112,[*]CCCN([*])C,[*]CCCN([*])C,clean,True,measured,4.769,,4.769
113,[*]C(=O)c1ccc2c(c1)C(=O)N(c1ccc(Oc3cccc(N4C(=O)c5ccc([*])cc5C4=O)c3)cc1)C2=O,[*]C(=O)c1ccc2c(c1)C(=O)N(c1ccc(Oc3cccc(N4C(=O)c5ccc([*])cc5C4=O)c3)cc1)C2=O,clean,True,measured,2.4674,,2.4674
114,[*]CCCOC(=O)CCCCCCC(=O)O[*],[*]CCCOC(=O)CCCCCCC(=O)O[*],clean,True,measured,6.8719,,6.8719
115,[*]Oc1c(-c2ccccc2)cc([*])cc1-c1cccc(C)c1,[*]Oc1c(-c2ccccc2)cc([*])cc1-c1cccc(C)c1,clean,True,measured,3.8434,,3.8434
116,[*]c1ccc([*])n1CC(=O)NO,[*]c1ccc([*])n1CC(=O)NO,clean,True,measured,2.7285,,2.7285
117,[*]CC(F)(F)C(F)(F)C(F)(F)COC(=O)CCCCC(=O)O[*],[*]CC(F)(F)C(F)(F)C(F)(F)COC(=O)CCCCC(=O)O[*],clean,True,measured,6.5793,,6.5793
118,[*]OC(=O)CCCCC([*])=O,[*]OC(=O)CCCCC([*])=O,clean,True,measured,6.2079,,6.2079
119,[*]Nc1ccc([*])cc1CC,[*]Nc1ccc([*])cc1CC,clean,True,measured,3.1433,,3.1433
120,[*]CCCCCOC(=O)COCC(=O)O[*],[*]CCCCCOC(=O)COCC(=O)O[*],clean,True,measured,6.1938,,6.1938
121,[*]CC(C)(CCC)C(=O)O[*],[*]CC(C)(CCC)C(=O)O[*],clean,True,measured,6.6736,,6.6736
122,[*]Oc1ccc(C(C)=Cc2ccc(OC(=O)OCCCCCCOC([*])=O)cc2)cc1,[*]Oc1ccc(C(C)=Cc2ccc(OC(=O)OCCCCCCOC([*])=O)cc2)cc1,clean,True,measured,4.2998,,4.2998
123,[*]C12CC3CC(C1)CC([*])(C3)C2,[*]C12CC3CC(C1)CC([*])(C3)C2,clean,True,measured,5.7135,,5.7135
124,[*]Nc1ccc([*])cc1Br,[*]Nc1ccc([*])cc1Br,clean,True,measured,3.3926,,3.3926
125,[*]NC(S1)=CC=C1OC(S2)=CC=C2[*],[*]NC(S1)=CC=C1OC(S2)=CC=C2[*],clean,True,measured,4.415,,4.415
126,[*]Oc1ccc(C=Nc2ccc(N=Cc3ccc(Oc4ccc(C(c5ccccc5)(c5ccccc5)c5ccc([*])cc5)cc4)cc3)cc2)cc1,[*]Oc1ccc(C=Nc2ccc(N=Cc3ccc(Oc4ccc(C(c5ccccc5)(c5ccccc5)c5ccc([*])cc5)cc4)cc3)cc2)cc1,clean,True,measured,3.0005,,3.0005
127,[*]C1=CC=C(c2sc(-c3sc([*])c4c3OCCO4)c3c2OCCO3)S1(=O)=O,[*]C1=CC=C(c2sc(-c3sc([*])c4c3OCCO4)c3c2OCCO3)S1(=O)=O,clean,True,measured,1.7641,,1.7641
128,[*]CCCC([*])C,[*]CCCC([*])C,clean,True,measured,7.097,,7.097
129,[*]C(=O)c1ccc2c(c1)C(=O)N(c1cc(-c3nc4ccccc4[nH]3)cc(N3C(=O)c4ccc([*])cc4C3=O)c1)C2=O,[*]C(=O)c1ccc2c(c1)C(=O)N(c1cc(-c3nc4ccccc4[nH]3)cc(N3C(=O)c4ccc([*])cc4C3=O)c1)C2=O,clean,True,measured,2.3475,,2.3475
130,[*]CC([*])C(=O)Oc1ccc(C(C)=NNC(N)=O)c(O)c1,[*]CC([*])C(=O)Oc1ccc(C(C)=NNC(N)=O)c(O)c1,clean,True,measured,3.6684,,3.6684
131,[*]CCOC(=O)Cc1ccc(CC(=O)O[*])cc1,[*]CCOC(=O)Cc1ccc(CC(=O)O[*])cc1,clean,True,measured,4.9816,,4.9816
132,[*]CCCCCCNC(=O)CCCCCCCCCCCCCCC(=O)N[*],[*]CCCCCCNC(=O)CCCCCCCCCCCCCCC(=O)N[*],clean,True,measured,5.9016,,5.9016
133,[*]c1ccc(-c2nnc([*])o2)cc1,[*]c1ccc(-c2nnc([*])o2)cc1,clean,True,measured,2.923,,2.923
134,[*]NNC(=O)c1cccc(C(=O)NNC(=S)c2cccc(C([*])=S)c2)c1,[*]NNC(=O)c1cccc(C(=O)NNC(=S)c2cccc(C([*])=S)c2)c1,clean,True,measured,3.0452,,3.0452
135,[*]Nc1ccc(-c2ccc(NC(=O)c3ccc(C([*])=O)cc3)cc2)cc1,[*]Nc1ccc(-c2ccc(NC(=O)c3ccc(C([*])=O)cc3)cc2)cc1,clean,True,measured,3.1615,,3.1615
136,[*]c1ccc(C(=O)Nc2cccc(-n3c(=O)c4cc5c(=O)n([*])c(=O)c5cc4c3=O)c2)cc1,[*]c1ccc(C(=O)Nc2cccc(-n3c(=O)c4cc5c(=O)n([*])c(=O)c5cc4c3=O)c2)cc1,clean,True,measured,2.4772,,2.4772
137,[*]C(=O)c1ccc2c(c1)C(=O)N(c1cc(-c3nc4ccccc4s3)cc(N3C(=O)c4ccc([*])cc4C3=O)c1)C2=O,[*]C(=O)c1ccc2c(c1)C(=O)N(c1cc(-c3nc4ccccc4s3)cc(N3C(=O)c4ccc([*])cc4C3=O)c1)C2=O,clean,True,measured,2.5568,,2.5568
138,[*]CC([*])C(=O)Oc1cccc(C)c1,[*]CC([*])C(=O)Oc1cccc(C)c1,clean,True,measured,4.8157,,4.8157
