origin,index,smiles,in_split
audit_rebuilt_val_only,3128,[*]OC(C)CCOC(=O)CCCCC([*])=O,val
audit_rebuilt_val_only,3364,[*]Nc1ccc(NC(=O)c2cc(NC(=O)c3ccccc3)cc(C([*])=O)c2)cc1,val
audit_rebuilt_val_only,3414,[*]CC1CCC(COC(=O)CCCCC(=O)O[*])CC1,val
audit_rebuilt_val_only,3539,[*]CC(O[*])C(F)(F)F,val
audit_rebuilt_val_only,2958,[*]CCCCCCCNC(=O)CCCCCCCCCCCCCCCCCCC(=O)N[*],val
audit_rebuilt_val_only,3459,N([*])CC(C)(C)CC(C)CNC(=O)CCCCC(=O)([*]),val
audit_rebuilt_val_only,3385,[*]CNOC(S1)=CC=C1[*],val
audit_rebuilt_val_only,3281,[*]C(=O)c1ccc2c(c1)C(=O)N(c1ccc(C(=O)Nc3ccc(N4C(=O)c5ccc([*])cc5C4=O)cc3)cc1)C2=O,val
audit_rebuilt_val_only,3449,[*]OC(C)CCOC(=O)COCC([*])=O,val
audit_rebuilt_val_only,3350,[*]CCN([*])C(=O)C1CCCCC1,val
audit_rebuilt_val_only,3572,[*]CCCCCCOC(=O)CCCCCCCC(=O)O[*],val
audit_rebuilt_val_only,3201,[*]Nc1cccc2c(NC(=O)c3cccc(C([*])=O)c3)cccc12,val
audit_rebuilt_val_only,3453,[*]Oc1ccc2ccc(OC(=O)Oc3ccc(OC([*])=O)cc3)cc2c1,val
audit_rebuilt_val_only,3482,[*]C=Cc1cccc(C=Cc2cc([*])nc(-c3ccccc3)n2)c1,val
audit_rebuilt_val_only,3381,C(F)(F)CC(F)(F)C(=S),val
audit_rebuilt_val_only,3422,[*]C=CCCCCCCCCCC[*],val
audit_rebuilt_val_only,3176,[*]CCCCCCNC(=O)C(CCCCC)C(=O)N[*],val
audit_rebuilt_val_only,3200,[*]CC([*])OCc1ccccc1,val
audit_rebuilt_val_only,3427,[*]CCOCCOCCOC(=O)CCCCCCC(=O)O[*],val
audit_rebuilt_val_only,3258,[*]CCCCCCCCc1nnc(-c2cccc(-c3nnc([*])o3)c2)o1,val
audit_rebuilt_val_only,3295,[*]c1cc(COCCCCCCCCOc2ccc(-c3ccc(OC)cc3)cc2)c([*])s1,val
audit_rebuilt_val_only,3471,[*]CNCC(C=C1)=CC=C1[*],val
audit_rebuilt_val_only,3537,[*]CCC(C)CC(C)(C)CNC(=O)c1ccc(C(=O)N[*])cc1,val
audit_rebuilt_val_only,3008,[*]Oc1ccc(NC(=O)c2ccc(C(=O)Nc3ccc(Oc4ccc(C5(c6ccc([*])cc6)CC6CCC5C6)cc4)cc3)cc2)cc1,val
audit_rebuilt_val_only,3411,[*]CCCCCCOC(=O)CCC(=O)O[*],val
audit_rebuilt_val_only,3361,[*]CCCCCCCCCCOC(=O)CCCCCCCCCCC(=O)O[*],val
audit_rebuilt_val_only,3084,[*]c1cc(CCCC)c([*])s1,val
audit_rebuilt_val_only,3132,[*]Oc1ccc(C2(c3ccc(OC([*])=O)cc3)CC(C)CC(C)(C)C2)cc1,val
audit_rebuilt_val_only,3430,[*]NC(C([*])=O)C(Cc1ccccc1)c1c[nH]cn1,val
