raw_string,num_wildcards,wildcard_neighbors,bond_types,direction_encoded,aromaticity,formal_charge,stereochemistry,repeat_ambiguity
[*]=C=C=C(CCCCOC(=O)NC(C)C)C(=[*])CCCCOC(=O)NC(C)C,2,"C, C","DOUBLE, DOUBLE",No,False,0,False,Unambiguous 2D
[*]c1cc2c(s1)-c1sc(-c3sc(-c4sc([*])c5c4OCCO5)c4c3OCCO4)cc1C2=C(C#N)C#N,2,"C, C","SINGLE, SINGLE",No,True,0,False,Unambiguous 2D
[*]C=Cc1sc([*])c2c1OC(CCCCCC)CO2,2,"C, C","SINGLE, SINGLE",No,True,0,False,Unambiguous 2D
[*]NC(=S)NO[*],2,"N, O","SINGLE, SINGLE",No,False,0,False,Unambiguous 2D
[*]c1sc([*])c2nc(CCCCCCCCCCC)c(CCCCCCCCCCC)nc12,2,"C, C","SINGLE, SINGLE",No,True,0,False,Unambiguous 2D
[*]C#CC(CCCCOC(=O)NCCC)=C([*])CCCCOC(=O)NCCC,2,"C, C","SINGLE, SINGLE",No,False,0,False,Unambiguous 2D
[*]c1sc(-c2sc(-c3sc([*])c4nccnc34)c3c2OCCO3)c2c1OCCO2,2,"C, C","SINGLE, SINGLE",No,True,0,False,Unambiguous 2D
[*]Oc1ccc(C(=Nc2ccc(N=C(c3ccccc3)c3ccc(On4c(=O)c5c(F)c6c(=O)n([*])c(=O)c6c(F)c5c4=O)cc3)cc2)c2ccccc2)cc1,2,"O, N","SINGLE, SINGLE",No,True,0,False,Unambiguous 2D
[*]NC(=S)C(C=C1)=CC=C1C(=S)[*],2,"N, C","SINGLE, SINGLE",No,True,0,False,Unambiguous 2D
[*]C(c1cccs1)=c1ccc(=c2ccc(=C(c3cccs3)c3ccc(-c4ccc([*])s4)s3)s2)s1,2,"C, C","SINGLE, SINGLE",No,True,0,False,Unambiguous 2D
[*]C=C([*])c1cccc(C#C)n1,2,"C, C","SINGLE, SINGLE",No,True,0,False,Unambiguous 2D
[*]C=C([*])c1cccc2ccccc12,2,"C, C","SINGLE, SINGLE",No,True,0,False,Unambiguous 2D
[*]c1sc(-c2cc(OCCCCC)c([*])s2)cc1OCCCCC,2,"C, C","SINGLE, SINGLE",No,True,0,False,Unambiguous 2D
[*]C=C([*])c1ccc([N+](=O)[O-])cc1,2,"C, C","SINGLE, SINGLE",No,True,0,False,Unambiguous 2D
[*]c1cc2c(s1)-c1sc([*])cc1C2=O,2,"C, C","SINGLE, SINGLE",No,True,0,False,Unambiguous 2D
[*]C1=CC2=CC([*])=NC2=N1,2,"C, C","SINGLE, SINGLE",No,False,0,False,Unambiguous 2D
[*]c1cc2c(s1)-c1sc(-c3sc(-c4sc([*])c5c4OCCO5)c4c3OCCO4)cc1C2=O,2,"C, C","SINGLE, SINGLE",No,True,0,False,Unambiguous 2D
[*]c1sc(-c2sc(-c3sc([*])c4nccnc34)c3c2OC(CCCCCC)CO3)c2c1OCC(CCCCCC)O2,2,"C, C","SINGLE, SINGLE",No,True,0,False,Unambiguous 2D
[*]C#CC=C[*],2,"C, C","SINGLE, SINGLE",No,False,0,False,Unambiguous 2D
[*]CC([*])C(=O)n1sc2ccccc2c1=O,2,"C, C","SINGLE, SINGLE",No,True,0,False,Unambiguous 2D
[*]c1cc2c(s1)-c1sc([*])cc1C2=C1c2ccsc2-c2sccc21,2,"C, C","SINGLE, SINGLE",No,True,0,False,Unambiguous 2D
[*]c1sc([*])c2ccccc12,2,"C, C","SINGLE, SINGLE",No,True,0,False,Unambiguous 2D
[*]c1sc([*])c(CCCCCCN(CC)c2ccc(N=Nc3ccc([N+](=O)[O-])cc3)cc2)c1CCCCCC,2,"C, C","SINGLE, SINGLE",No,True,0,False,Unambiguous 2D
[*]c1cc(CCN(CC)c2ccc(N=Nc3ccc(C=C(C#N)C#N)cc3)cc2)c([*])s1,2,"C, C","SINGLE, SINGLE",No,True,0,False,Unambiguous 2D
[*]c1ccc(C(=O)Nc2ccc(-c3ccc(NC(=O)c4ccc(-n5c(=O)c6sc7c(=O)n([*])c(=O)c7sc6c5=O)cc4)cc3)cc2)cc1,2,"C, N","SINGLE, SINGLE",No,True,0,False,Unambiguous 2D
[*]c1cc(OCCCCCCC)c([*])s1,2,"C, C","SINGLE, SINGLE",No,True,0,False,Unambiguous 2D
[*]C#CC(CO)=C([*])n1c2ccccc2c2ccccc21,2,"C, C","SINGLE, SINGLE",No,True,0,False,Unambiguous 2D
[*]c1sc([*])c2c1OCCO2,2,"C, C","SINGLE, SINGLE",No,True,0,False,Unambiguous 2D
[*]CC(=S)C(=O)C(=S)[*],2,"C, C","SINGLE, SINGLE",No,False,0,False,Unambiguous 2D
[*]C1=C(CCCCCC)C(CCCCCC)=C(c2sc(-c3sc([*])c4c3OCCO4)c3c2OCCO3)S1(=O)=O,2,"C, C","SINGLE, SINGLE",No,True,0,False,Unambiguous 2D
[*]C1=CC2=NC([*])=CC2=N1,2,"C, C","SINGLE, SINGLE",No,False,0,False,Unambiguous 2D
