polymer_id,original_representation,property_name,property_value,units,source_dataset,split,phase4_attack_family,phase4_attack_category,phase4_label_basis
poly_784,[*]C(=O)c1ccc2c(c1)C(=O)N(c1ccc(C(c3ccccc3)(c3ccc(N4C(=O)c5ccc([*])cc5C4=O)cc3)C(F)(F)F)cc1)C2=O,Bandgap,3.0137,eV,polyverse_bandgap,train,clean,clean,measured_target
poly_3865,[*]OC([*])C(Cl)Cl,Bandgap,6.4632,eV,polyverse_bandgap,train,clean,clean,measured_target
poly_247,[*]c1ccc(Oc2ccc(Oc3ccc(-n4c(=O)c5cc6c(=O)n([*])c(=O)c6cc5c4=O)cc3)cc2)cc1,Bandgap,2.2398,eV,polyverse_bandgap,train,clean,clean,measured_target
poly_3766,[*]CC(CO[*])(COC=O)COC=O,Bandgap,6.3091,eV,polyverse_bandgap,train,clean,clean,measured_target
poly_1733,[*]Oc1ccc(C(C)=Cc2ccc(OC(=O)OCCCCOC([*])=O)cc2)cc1,Bandgap,4.177,eV,polyverse_bandgap,train,clean,clean,measured_target
poly_680,[*]C(=O)Nc1ccc(NC(=O)c2ccc3c(c2)C(=O)N(c2cccc(N4C(=O)c5ccc([*])cc5C4=O)c2)C3=O)cc1,Bandgap,2.9009,eV,polyverse_bandgap,train,clean,clean,measured_target
poly_643,[*]C(=O)Nc1ccc(C2(c3ccc(N4C(=O)c5ccc([*])cc5C4=O)cc3)CCCCC2)cc1,Bandgap,2.8538,eV,polyverse_bandgap,train,clean,clean,measured_target
poly_1440,[*]OS(=O)(=O)c1cccc(C(=O)Oc2ccc(C(C)(C)c3ccc([*])cc3)cc2)c1,Bandgap,3.8376,eV,polyverse_bandgap,train,clean,clean,measured_target
poly_405,[*]C([2H])([2H])C([*])([2H])C([2H])=C([2H])[2H],Bandgap,2.522,eV,polyverse_bandgap,train,clean,clean,measured_target
poly_1234,[*]C(=O)C(S1)=CC=C1OC(=S)[*],Bandgap,3.6056,eV,polyverse_bandgap,train,clean,clean,measured_target
poly_3677,[*]OC(=O)CCCCCCCCCCCCC([*])=O,Bandgap,6.1871,eV,polyverse_bandgap,train,clean,clean,measured_target
poly_3841,[*]OC(C)CCC(C)OC(=O)CCCCC([*])=O,Bandgap,6.4235,eV,polyverse_bandgap,train,clean,clean,measured_target
poly_2677,[*]CC(O)COC(=O)CCCCC(=O)OCC(O)COc1ccc(O[*])cc1,Bandgap,5.1211,eV,polyverse_bandgap,train,clean,clean,measured_target
poly_552,[*]C(=O)Oc1ccc(OC(=O)c2ccc3c(c2)C(=O)N(c2ccc(Oc4ccc(N5C(=O)c6ccc([*])cc6C5=O)cc4)cc2)C3=O)c(C(C)(C)C)c1,Bandgap,2.7274,eV,polyverse_bandgap,train,clean,clean,measured_target
poly_720,[*]NC(=O)C(C=C1)=CC=C1C(=S)[*],Bandgap,2.9444,eV,polyverse_bandgap,train,clean,clean,measured_target
poly_1645,[*]C=CC1C=CC([*])C(C(=O)OC(C)(C)C)=C1C(=O)OC(C)(C)C,Bandgap,4.0868,eV,polyverse_bandgap,train,clean,clean,measured_target
poly_396,[*]c1cc(N=Nc2ccc(C#N)cc2)cc([*])c1O,Bandgap,2.5143,eV,polyverse_bandgap,train,clean,clean,measured_target
poly_129,[*]c1ccc(-c2cc(CCCCCCCCCF)c([*])s2)s1,Bandgap,1.8341,eV,polyverse_bandgap,train,clean,clean,measured_target
poly_3685,[*]CCOC(=O)NCCOCCOCCNC(=O)O[*],Bandgap,6.1965,eV,polyverse_bandgap,train,clean,clean,measured_target
poly_3550,[*]CCCCCCNC(=O)CCCCCCCCCCCCCCCCCCCCC(=O)N[*],Bandgap,6.0208,eV,polyverse_bandgap,train,clean,clean,measured_target
poly_1018,[*]c1ccc(-c2ccc(N3C(=O)c4ccc(Oc5ccc6c(c5)C(=O)N([*])C6=O)cc4C3=O)cc2C)c(C)c1,Bandgap,3.3433,eV,polyverse_bandgap,train,clean,clean,measured_target
poly_3859,[*]CC([*])C(=O)OCCCCCCC,Bandgap,6.4578,eV,polyverse_bandgap,train,clean,clean,measured_target
poly_3778,[*]NC(=O)OC(=O)[*],Bandgap,6.3288,eV,polyverse_bandgap,train,clean,clean,measured_target
poly_3787,[*]CC(F)(F)C(F)(F)C(F)(F)COC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(=O)O[*],Bandgap,6.3429,eV,polyverse_bandgap,train,clean,clean,measured_target
poly_820,[*]C(=O)Nc1ccc(Cc2ccc(N3C(=O)c4ccc([*])cc4C3=O)cc2)cc1,Bandgap,3.0708,eV,polyverse_bandgap,train,clean,clean,measured_target
poly_2057,[*]C(=O)c1ccc(C(=O)N2CC(C)N([*])CC2C)cc1,Bandgap,4.5321,eV,polyverse_bandgap,train,clean,clean,measured_target
poly_2351,[*]c1ccc(C2C(C#N)(C(=O)OCCC)C([*])C2(C#N)C(=O)OCCC)cc1,Bandgap,4.8078,eV,polyverse_bandgap,train,clean,clean,measured_target
poly_4191,[*]COC(=O)O[*],Bandgap,8.088,eV,polyverse_bandgap,train,clean,clean,measured_target
poly_2480,[*]Cc1c(O)c(CNC(=O)N[*])cc(C(CC)=NO)c1O,Bandgap,4.9278,eV,polyverse_bandgap,train,clean,clean,measured_target
poly_624,[*]c1ccc(N(c2ccc(CCCC)cc2)c2ccc(-c3ccc([*])s3)cc2)cc1,Bandgap,2.8259,eV,polyverse_bandgap,train,clean,clean,measured_target
poly_3437,[*]CCCCCCCNC(=O)CCCCC(=O)N[*],Bandgap,5.9053,eV,polyverse_bandgap,train,clean,clean,measured_target
poly_2651,[*]Oc1ccc(C(c2ccccc2)c2ccc(OC([*])=O)cc2)cc1,Bandgap,5.1036,eV,polyverse_bandgap,train,clean,clean,measured_target
poly_649,[*]c1ccc([*])n1C(C(=O)OCC)n1cccc1,Bandgap,2.8576,eV,polyverse_bandgap,train,clean,clean,measured_target
poly_2196,[*]Oc1c(CCCCC)cc([*])cc1-c1ccccc1,Bandgap,4.6522,eV,polyverse_bandgap,train,clean,clean,measured_target
poly_2594,[*]Oc1ccc(C(C)c2ccc(OC([*])=O)c(C)c2)cc1C,Bandgap,5.0393,eV,polyverse_bandgap,train,clean,clean,measured_target
poly_4154,[*]CCC1CCC([*])C1,Bandgap,7.0987,eV,polyverse_bandgap,train,clean,clean,measured_target
poly_2644,[*]Oc1cccc(OC(=O)CCC([*])=O)c1,Bandgap,5.0962,eV,polyverse_bandgap,train,clean,clean,measured_target
poly_1118,[*]Oc1ccc(C(=O)Nc2cc(NC(=O)c3ccc([*])cc3)cc(-c3nc4ccccc4[nH]3)c2)cc1,Bandgap,3.4538,eV,polyverse_bandgap,train,clean,clean,measured_target
poly_3896,[*]CCCOC(=O)CC(=O)O[*],Bandgap,6.5016,eV,polyverse_bandgap,train,clean,clean,measured_target
poly_172,[*]CCCCCCCCn1c(=O)c2ccc3c4ccc5c(=O)n([*])c(=O)c6ccc(c7ccc(c1=O)c2c37)c4c56,Bandgap,2.0018,eV,polyverse_bandgap,train,clean,clean,measured_target
poly_317,[*]c1cc(CCCCBr)c([*])s1,Bandgap,2.4191,eV,polyverse_bandgap,train,clean,clean,measured_target
poly_1194,[*]NC(C=C1)=CC=C1C(C=C2)=CC=C2C(C=C3)=CC=C3[*],Bandgap,3.553,eV,polyverse_bandgap,train,clean,clean,measured_target
poly_36,[*]c1sc(-c2sc(-c3sc([*])c4nccnc34)c3c2OC(CCCCCC)CO3)c2c1OCC(CCCCCC)O2,Bandgap,1.2188,eV,polyverse_bandgap,train,clean,clean,measured_target
poly_3466,[*]CC1CCCC(CNC(=O)CCCCCCC(=O)N[*])C1,Bandgap,5.9394,eV,polyverse_bandgap,train,clean,clean,measured_target
poly_1739,O([*])C(=O)OC(C=C1)=CC=C1C(C=C2)=CC=C2CC(C=C3)=CC=C3C(C=C4)=CC=C4([*]),Bandgap,4.1828,eV,polyverse_bandgap,train,clean,clean,measured_target
poly_3254,[*]NC1CC(CCC([*])=O)C1(C)C,Bandgap,5.7477,eV,polyverse_bandgap,train,clean,clean,measured_target
poly_2876,[*]CCc1ccc(CCNC(=O)CCCCCCCCCC(=O)N[*])cc1,Bandgap,5.3249,eV,polyverse_bandgap,train,clean,clean,measured_target
poly_2773,[*]CCCCCCCCCCOC(=O)Nc1ccc(C)c(NC(=O)O[*])c1,Bandgap,5.2165,eV,polyverse_bandgap,train,clean,clean,measured_target
poly_2881,[*]Cc1ccc(CNC(=O)CCCCCCCCC(=O)N[*])cc1,Bandgap,5.3317,eV,polyverse_bandgap,train,clean,clean,measured_target
poly_2424,[*]C(C=C1)=CC=C1OC(C=C2)=CC=C2O[*],Bandgap,4.8832,eV,polyverse_bandgap,train,clean,clean,measured_target
poly_950,[*]CCCCCCOc1ccc(OC(=O)c2ccc(C(=O)Oc3ccc(O[*])cc3)cc2)cc1,Bandgap,3.2533,eV,polyverse_bandgap,train,clean,clean,measured_target
poly_2586,[*]CCc1ccc([*])c(F)c1,Bandgap,5.0304,eV,polyverse_bandgap,train,clean,clean,measured_target
poly_1154,[*]Oc1ccc(C(=O)CNCCCNCC(=O)c2ccc([*])cc2)cc1,Bandgap,3.504,eV,polyverse_bandgap,train,clean,clean,measured_target
poly_2950,[*]CCCCCCCCCCNC(=O)C(C)=C(C)C(=O)N[*],Bandgap,5.4099,eV,polyverse_bandgap,train,clean,clean,measured_target
poly_143,[*]c1ccc(-c2ccc(-c3ccc([*])s3)s2)cc1,Bandgap,1.9121,eV,polyverse_bandgap,train,clean,clean,measured_target
poly_825,[*]C(=O)c1ccc2nc(-c3ccc(-c4cnc5cc([*])ccc5n4)cc3)cnc2c1,Bandgap,3.0794,eV,polyverse_bandgap,train,clean,clean,measured_target
poly_2315,[*]CCCN([*])C,Bandgap,4.769,eV,polyverse_bandgap,train,clean,clean,measured_target
poly_353,[*]C(=O)c1ccc2c(c1)C(=O)N(c1ccc(Oc3cccc(N4C(=O)c5ccc([*])cc5C4=O)c3)cc1)C2=O,Bandgap,2.4674,eV,polyverse_bandgap,train,clean,clean,measured_target
poly_4116,[*]CCCOC(=O)CCCCCCC(=O)O[*],Bandgap,6.8719,eV,polyverse_bandgap,train,clean,clean,measured_target
poly_1446,[*]Oc1c(-c2ccccc2)cc([*])cc1-c1cccc(C)c1,Bandgap,3.8434,eV,polyverse_bandgap,train,clean,clean,measured_target
poly_554,[*]c1ccc([*])n1CC(=O)NO,Bandgap,2.7285,eV,polyverse_bandgap,train,clean,clean,measured_target
poly_3953,[*]CC(F)(F)C(F)(F)C(F)(F)COC(=O)CCCCC(=O)O[*],Bandgap,6.5793,eV,polyverse_bandgap,train,clean,clean,measured_target
poly_3696,[*]OC(=O)CCCCC([*])=O,Bandgap,6.2079,eV,polyverse_bandgap,train,clean,clean,measured_target
poly_872,[*]Nc1ccc([*])cc1CC,Bandgap,3.1433,eV,polyverse_bandgap,train,clean,clean,measured_target
poly_3682,[*]CCCCCOC(=O)COCC(=O)O[*],Bandgap,6.1938,eV,polyverse_bandgap,train,clean,clean,measured_target
poly_4027,[*]CC(C)(CCC)C(=O)O[*],Bandgap,6.6736,eV,polyverse_bandgap,train,clean,clean,measured_target
poly_1850,[*]Oc1ccc(C(C)=Cc2ccc(OC(=O)OCCCCCCOC([*])=O)cc2)cc1,Bandgap,4.2998,eV,polyverse_bandgap,train,clean,clean,measured_target
poly_3214,[*]C12CC3CC(C1)CC([*])(C3)C2,Bandgap,5.7135,eV,polyverse_bandgap,train,clean,clean,measured_target
poly_1059,[*]Nc1ccc([*])cc1Br,Bandgap,3.3926,eV,polyverse_bandgap,train,clean,clean,measured_target
poly_1944,[*]NC(S1)=CC=C1OC(S2)=CC=C2[*],Bandgap,4.415,eV,polyverse_bandgap,train,clean,clean,measured_target
poly_775,[*]Oc1ccc(C=Nc2ccc(N=Cc3ccc(Oc4ccc(C(c5ccccc5)(c5ccccc5)c5ccc([*])cc5)cc4)cc3)cc2)cc1,Bandgap,3.0005,eV,polyverse_bandgap,train,clean,clean,measured_target
poly_116,[*]C1=CC=C(c2sc(-c3sc([*])c4c3OCCO4)c3c2OCCO3)S1(=O)=O,Bandgap,1.7641,eV,polyverse_bandgap,train,clean,clean,measured_target
poly_4153,[*]CCCC([*])C,Bandgap,7.097,eV,polyverse_bandgap,train,clean,clean,measured_target
poly_287,[*]C(=O)c1ccc2c(c1)C(=O)N(c1cc(-c3nc4ccccc4[nH]3)cc(N3C(=O)c4ccc([*])cc4C3=O)c1)C2=O,Bandgap,2.3475,eV,polyverse_bandgap,train,clean,clean,measured_target
poly_1300,[*]CC([*])C(=O)Oc1ccc(C(C)=NNC(N)=O)c(O)c1,Bandgap,3.6684,eV,polyverse_bandgap,train,clean,clean,measured_target
poly_2535,[*]CCOC(=O)Cc1ccc(CC(=O)O[*])cc1,Bandgap,4.9816,eV,polyverse_bandgap,train,clean,clean,measured_target
poly_3432,[*]CCCCCCNC(=O)CCCCCCCCCCCCCCC(=O)N[*],Bandgap,5.9016,eV,polyverse_bandgap,train,clean,clean,measured_target
poly_697,[*]c1ccc(-c2nnc([*])o2)cc1,Bandgap,2.923,eV,polyverse_bandgap,train,clean,clean,measured_target
poly_803,[*]NNC(=O)c1cccc(C(=O)NNC(=S)c2cccc(C([*])=S)c2)c1,Bandgap,3.0452,eV,polyverse_bandgap,train,clean,clean,measured_target
poly_884,[*]Nc1ccc(-c2ccc(NC(=O)c3ccc(C([*])=O)cc3)cc2)cc1,Bandgap,3.1615,eV,polyverse_bandgap,train,clean,clean,measured_target
poly_359,[*]c1ccc(C(=O)Nc2cccc(-n3c(=O)c4cc5c(=O)n([*])c(=O)c5cc4c3=O)c2)cc1,Bandgap,2.4772,eV,polyverse_bandgap,train,clean,clean,measured_target
poly_432,[*]C(=O)c1ccc2c(c1)C(=O)N(c1cc(-c3nc4ccccc4s3)cc(N3C(=O)c4ccc([*])cc4C3=O)c1)C2=O,Bandgap,2.5568,eV,polyverse_bandgap,train,clean,clean,measured_target
poly_2355,[*]CC([*])C(=O)Oc1cccc(C)c1,Bandgap,4.8157,eV,polyverse_bandgap,train,clean,clean,measured_target
poly_4173,[*]OC([*])CCC#N,Bandgap,7.2521,eV,polyverse_bandgap,train,clean,clean,measured_target
poly_1213,[*]CC([*])(C)C(=O)Oc1ccc2ccccc2c1,Bandgap,3.5795,eV,polyverse_bandgap,train,clean,clean,measured_target
poly_2477,[*]NNC(=O)c1ccc(C(=O)NNC(=O)CCCCC([*])=O)cc1,Bandgap,4.9254,eV,polyverse_bandgap,train,clean,clean,measured_target
poly_2759,[*]CCCS[*],Bandgap,5.2018,eV,polyverse_bandgap,train,clean,clean,measured_target
poly_1063,[*]c1ccc(N([*])c2ccc(S(=O)(=O)O)cc2)cc1,Bandgap,3.3958,eV,polyverse_bandgap,train,clean,clean,measured_target
poly_3231,[*]CCCCCCCCC(=O)NCCCCCOCCCCCNC(=O)CCCCO[*],Bandgap,5.7312,eV,polyverse_bandgap,train,clean,clean,measured_target
poly_3882,[*]CCOC(=O)CCCCC(=O)O[*],Bandgap,6.4808,eV,polyverse_bandgap,train,clean,clean,measured_target
poly_1146,[*]Oc1ccccc1C(=O)OCCOCCOCCOC(=O)c1ccccc1Oc1nc([*])nc(N(CC)c2ccccc2)n1,Bandgap,3.4967,eV,polyverse_bandgap,train,clean,clean,measured_target
poly_798,[*]Nc1cc(Cl)c([*])cc1Cl,Bandgap,3.035,eV,polyverse_bandgap,train,clean,clean,measured_target
poly_2296,[*]Oc1c(C)cc([*])cc1C(C)CCCCCCCC,Bandgap,4.7507,eV,polyverse_bandgap,train,clean,clean,measured_target
poly_2549,[*]CC([*])SC,Bandgap,4.9974,eV,polyverse_bandgap,train,clean,clean,measured_target
poly_434,[*]NC(S1)=CC=C1C(C=C2)=CC=C2C(S3)=CC=C3[*],Bandgap,2.5591,eV,polyverse_bandgap,train,clean,clean,measured_target
poly_2568,[*]CCc1ccc([*])c(CC)c1,Bandgap,5.0142,eV,polyverse_bandgap,train,clean,clean,measured_target
poly_1422,[*]Sc1c(C)cc([*])cc1C,Bandgap,3.8176,eV,polyverse_bandgap,train,clean,clean,measured_target
poly_2789,[*]C=CC1CC([*])C2C(=O)N(CCC)C(=O)C12,Bandgap,5.2293,eV,polyverse_bandgap,train,clean,clean,measured_target
poly_502,[*]c1cc(C(=O)Oc2cccc3cccnc23)c([*])s1,Bandgap,2.6538,eV,polyverse_bandgap,train,clean,clean,measured_target
poly_198,[*]c1ccc(-n2c(=O)c3cc4c(=O)n(-n5c6ccc([*])cc6c6cccnc65)c(=O)c4cc3c2=O)cc1,Bandgap,2.0994,eV,polyverse_bandgap,train,clean,clean,measured_target
poly_1469,[*]Oc1ccc(C(=O)OCCCCOC(=O)c2ccc(OC(=O)c3ccc(C([*])=O)cc3)cc2)cc1,Bandgap,3.8861,eV,polyverse_bandgap,train,clean,clean,measured_target
poly_1257,[*]Oc1ccc(OC(=O)c2ccc(C([*])=O)cc2Oc2ccc(F)cc2)cc1,Bandgap,3.6251,eV,polyverse_bandgap,train,clean,clean,measured_target
poly_3641,[*]CCCCCCOC(=O)NCCCNC(=O)O[*],Bandgap,6.1264,eV,polyverse_bandgap,train,clean,clean,measured_target
poly_640,[*]C(=O)c1ccc2c(c1)C(=O)N(c1ccc(-c3nc(-c4ccccc4)nc(-c4ccc(N5C(=O)c6ccc([*])cc6C5=O)cc4)n3)cc1)C2=O,Bandgap,2.85,eV,polyverse_bandgap,train,clean,clean,measured_target
poly_3168,[*]CCCCCCNC(=O)CCCCCCC(=O)N[*],Bandgap,5.6562,eV,polyverse_bandgap,train,clean,clean,measured_target
poly_4188,[*]C1OC(C(F)(F)F)(C(F)(F)F)OC1([*])F,Bandgap,7.8893,eV,polyverse_bandgap,train,clean,clean,measured_target
poly_1861,[*]Oc1ccc(Oc2ccc(C=NCCCCN=Cc3ccc([*])cc3)cc2)cc1,Bandgap,4.309,eV,polyverse_bandgap,train,clean,clean,measured_target
poly_428,[*]c1ccc(-c2sc(-c3cc(CCCC)c([*])s3)cc2CCCC)cc1,Bandgap,2.55,eV,polyverse_bandgap,train,clean,clean,measured_target
poly_1430,O([*])c1cc(c(CCCCCC)cc1)OC(=O)c1cc(ccc1)C(=O)([*]),Bandgap,3.8294,eV,polyverse_bandgap,train,clean,clean,measured_target
poly_1085,[*]NC(=O)C(C=C1)=CC=C1C(C=C2)=CC=C2[*],Bandgap,3.4167,eV,polyverse_bandgap,train,clean,clean,measured_target
poly_3284,[*]CCOC(=O)C1C2C=CC(C2)C1C(=O)O[*],Bandgap,5.7712,eV,polyverse_bandgap,train,clean,clean,measured_target
poly_1376,[*]c1cc([*])cc(-c2nc3ccccc3o2)c1,Bandgap,3.757,eV,polyverse_bandgap,train,clean,clean,measured_target
poly_2828,[*]CCCCCCNC(=O)C(CCCCCCC)C(=O)N[*],Bandgap,5.2746,eV,polyverse_bandgap,train,clean,clean,measured_target
